ZipCode,MedianMonthlyCost
02453,2143
02457,-
02458,3128
02459,3155
02460,3038
02461,3283
02462,3365
02464,2594
02465,3470
02466,3508
02467,3052
02468,3843
02472,2577
02474,2995
02476,2536
02478,3257
02481,"4,000+"
02482,3442
02492,3487
02493,"4,000+"
02494,3641
02532,1687
02534,1502
02535,2324
02536,1729
02537,2217
02538,1517
02539,2353
02540,1435
02542,-
02543,1197
02553,-
02554,3212
02556,1617
02557,1273
02558,-
02559,1745
02561,-
02562,2576
02563,2275
02564,-
02568,2582
02571,1903
02575,3281
02576,1898
02584,-
02601,1775
02630,1485
02631,1738
02632,1881
02633,1699
02635,1499
02637,-
02638,1385
02639,1130
02641,-
02642,1216
02643,-
02644,2120
02645,1709
02646,1493
02647,3594
02648,1995
02649,1611
02650,2333
02652,832
02653,1699
02655,2532
02657,1939
02659,2221
02660,1439
02663,1422
02664,1477
02666,1101
02667,1385
02668,3041
02670,1446
02671,1195
02672,-
02673,1591
02675,1647
02702,2105
02703,1935
02713,1450
02715,2263
02717,2132
02718,1918
02719,1653
02720,1653
02721,1737
02723,1291
02724,1559
02725,2070
02726,1843
02738,2057
02739,1740
02740,1623
02743,1717
02744,1397
02745,1630
02746,1650
02747,1825
02748,1809
02760,1914
02762,1753
02763,2213
02764,2018
02766,2198
02767,2216
02769,2197
02770,1742
02771,2116
02777,1778
02779,2269
02780,1656
02790,1585
02791,1206
02802,1145
02804,1714
02806,2515
02807,1000
02808,1890
02809,1892
02812,1871
02813,1677
02814,1619
02815,-
02816,1757
02817,2250
02818,2593
02822,1822
02823,-
02824,2000
02825,2024
02826,-
02827,1890
02828,1650
02829,-
02830,2151
02831,2123
02832,1662
02833,1619
02835,2503
02836,-
02837,1587
02838,1498
02839,977
02840,1955
02841,-
02842,2094
02852,2015
02857,1836
02858,1841
02859,1852
02860,1636
02861,1629
02863,1792
02864,1876
02865,1810
02871,2090
02872,2104
02873,-
02874,2301
02875,-
02876,-
02878,1472
02879,1888
02881,1261
02882,1769
02885,1761
02886,1843
02888,1641
02889,1644
02891,1689
02892,1950
02893,1616
02894,1913
02895,1398
02896,2062
02898,2099
02903,2238
02904,1616
02905,1882
02906,2104
02907,1702
02908,1695
02909,1618
02910,1627
02911,1600
02912,-
02914,1365
02915,1704
02916,1604
02917,1831
02918,-
02919,1556
02920,1697
02921,2479
03031,2400
03032,2561
03033,2374
03034,1890
03036,2458
03037,1758
03038,2084
03042,2017
03043,1569
03044,2064
03045,1933
03046,2362
03047,1879
03048,1359
03049,2551
03051,1979
03052,2596
03053,2152
03054,1930
03055,2086
03057,2676
03060,1893
03062,1925
03063,1852
03064,2039
03070,2343
03071,1560
03076,2356
03077,1833
03079,2095
03082,1670
03084,2034
03086,2168
03087,2588
03101,2286
03102,1650
03103,1571
03104,1854
03106,1775
03109,1886
03110,2372
03215,1589
03216,1454
03217,1273
03218,1757
03220,1408
03221,1465
03222,1236
03223,1335
03224,1700
03225,1671
03226,1570
03227,817
03229,1991
03230,979
03231,1351
03233,1938
03234,1715
03235,1533
03237,1618
03238,460
03240,1321
03241,1321
03242,2410
03243,1358
03244,1733
03245,1272
03246,1516
03249,1561
03251,973
03253,1325
03254,1319
03255,1493
03256,1377
03257,1960
03258,1972
03259,668
03260,1870
03261,1878
03262,1542
03263,1767
03264,1588
03266,1114
03268,1315
03269,1944
03273,975
03275,1565
03276,1575
03278,1612
03279,1141
03280,1025
03281,1939
03282,1128
03284,1322
03285,1290
03287,2005
03290,2280
03291,-
03293,1167
03301,1830
03303,1794
03304,2348
03307,1509
03431,1521
03440,1521
03441,1759
03442,1650
03443,1853
03444,1420
03445,1110
03446,1443
03447,1501
03448,1182
03449,1793
03450,1298
03451,958
03452,1417
03455,1475
03456,1364
03457,1561
03458,1845
03461,1988
03462,1887
03464,1357
03465,1684
03466,1622
03467,1641
03470,1551
03561,1131
03570,956
03574,1200
03575,-
03576,970
03579,632
03580,1248
03581,934
03582,741
03583,846
03584,1117
03585,1051
03586,1688
03588,975
03590,800
03592,855
03593,875
03595,1057
03597,663
03598,1170
03601,887
03602,1196
03603,1016
03604,-
03605,1143
03607,1452
03608,1550
03609,1008
03740,1013
03741,1463
03743,1378
03745,1480
03748,1482
03750,2682
03751,745
03752,1336
03753,1695
03755,2301
03765,1707
03766,1838
03768,2462
03770,2742
03771,805
03773,1199
03774,776
03777,1549
03779,1546
03780,1612
03781,1892
03782,1586
03784,1966
03785,1396
03801,2245
03809,1492
03810,1704
03811,2139
03812,1549
03813,1015
03814,1365
03816,1074
03817,1814
03818,1383
03819,2121
03820,2113
03823,2349
03824,2660
03825,1611
03826,2435
03827,2619
03830,1040
03832,1055
03833,2111
03835,1387
03836,1150
03837,2042
03838,1037
03839,1785
03840,2263
03841,1732
03842,1979
03844,2819
03845,-
03846,1399
03847,1530
03848,2152
03849,1366
03850,1191
03851,1700
03852,1321
03853,2142
03854,1945
03855,1641
03856,2268
03857,2044
03858,2260
03860,1147
03861,2059
03862,2060
03864,1258
03865,1901
03867,1320
03868,1375
03869,1816
03870,2025
03871,2432
03872,1376
03873,2230
03874,1602
03875,1338
03878,1848
03882,1333
03883,1750
03884,2025
03885,2503
03886,1146
03887,1625
03890,-
03894,1318
03897,-
03901,1903
03902,1488
03903,1873
03904,1654
03905,1977
03906,1776
03907,1377
03908,1615
03909,1500
03910,-
03911,2212
04001,1032
04002,1401
04003,1089
04005,1589
04006,2917
04008,1520
04009,1121
04010,1052
04011,1344
04015,1241
04017,1108
04019,-
04020,1170
04021,2094
04022,768
04024,992
04027,1200
04029,1149
04030,1744
04032,1531
04037,1122
04038,1868
04039,1569
04040,1060
04041,1080
04042,1381
04043,1660
04046,1535
04047,882
04048,1324
04049,1222
04050,938
04051,828
04055,1074
04056,1023
04057,-
04061,1378
04062,1496
04063,893
04064,1232
04066,1548
04068,684
04069,1694
04071,1498
04072,1583
04073,1362
04074,1851
04076,1229
04079,1183
04083,1403
04084,1421
04085,1422
04086,1571
04087,1304
04088,1091
04090,1267
04091,606
04092,1581
04093,1471
04095,1145
04096,2499
04097,1838
04101,1914
04102,1826
04103,1713
04105,1943
04106,1616
04107,2069
04108,1655
04109,1395
04110,3017
04210,1387
04216,589
04217,882
04219,709
04220,966
04221,930
04222,1378
04224,756
04226,704
04227,-
04231,700
04234,-
04236,1240
04237,1000
04238,1267
04239,729
04240,1205
04250,1398
04252,1348
04253,846
04254,1101
04255,691
04256,1496
04257,655
04258,1288
04259,1499
04260,1356
04261,492
04263,1235
04265,487
04267,-
04268,786
04270,801
04271,-
04274,1442
04275,712
04276,756
04280,974
04281,1173
04282,1319
04284,1080
04285,561
04286,-
04287,1176
04289,963
04290,709
04292,600
04294,791
04330,1034
04341,-
04342,973
04344,785
04345,1172
04346,829
04347,1006
04348,896
04349,954
04350,1274
04351,1341
04352,1064
04353,836
04354,1349
04355,1376
04357,1432
04358,1266
04359,1735
04360,1017
04363,990
04364,1333
04401,1240
04406,533
04408,880
04410,1051
04411,909
04412,1161
04413,1022
04414,553
04415,650
04416,1069
04417,301
04418,673
04419,1435
04421,1636
04422,989
04424,650
04426,875
04427,691
04428,995
04429,1311
04430,700
04431,-
04434,758
04435,615
04438,1049
04441,813
04442,-
04443,734
04444,1396
04448,662
04449,759
04450,891
04451,-
04453,633
04454,-
04455,657
04456,1060
04457,711
04459,459
04460,410
04461,1008
04462,617
04463,725
04464,669
04468,968
04469,-
04471,618
04472,1051
04473,1209
04474,1183
04475,432
04476,745
04478,631
04479,647
04481,929
04485,1013
04487,395
04488,952
04489,841
04490,435
04491,586
04492,500
04493,699
04495,387
04496,1167
04497,371
04530,1500
04535,1121
04537,1191
04538,977
04539,1216
04541,938
04543,1234
04544,1351
04547,916
04548,1290
04551,979
04553,1446
04554,1150
04555,1016
04556,1328
04558,1017
04562,1312
04563,1194
04564,1007
04568,773
04570,-
04571,859
04572,1179
04573,1233
04574,755
04575,1129
04576,829
04578,1327
04579,1261
04605,1194
04606,824
04607,799
04609,1227
04611,1009
04612,1154
04613,238
04614,1282
04616,711
04617,628
04619,778
04622,646
04623,640
04624,-
04625,650
04626,609
04627,914
04628,627
04630,803
04631,778
04634,820
04635,1375
04640,1081
04642,-
04643,880
04645,1125
04646,1375
04648,590
04649,692
04650,711
04652,774
04653,1520
04654,948
04655,865
04657,610
04658,736
04660,1130
04662,950
04664,1068
04666,655
04667,478
04668,429
04669,1321
04671,883
04673,-
04674,1188
04675,1345
04676,1225
04677,839
04679,925
04680,682
04681,706
04683,-
04684,1103
04685,1208
04686,567
04691,688
04693,906
04694,720
04730,874
04732,658
04733,420
04734,1073
04735,610
04736,714
04737,-
04739,738
04740,647
04742,854
04743,877
04745,816
04746,616
04747,574
04750,628
04756,874
04757,922
04758,621
04760,630
04761,748
04762,782
04763,600
04764,421
04765,658
04766,703
04768,790
04769,892
04772,867
04773,922
04774,605
04776,633
04777,520
04779,477
04780,652
04781,711
04783,619
04785,569
04786,798
04787,498
04841,1264
04843,1845
04847,1333
04848,1049
04849,1137
04851,1563
04852,2188
04853,1316
04854,798
04855,3606
04856,1572
04858,1278
04859,1427
04860,885
04861,1022
04862,1195
04863,1036
04864,1278
04901,950
04910,781
04911,692
04912,764
04915,1031
04917,1384
04918,-
04920,529
04921,957
04922,741
04923,1110
04924,759
04925,1523
04926,-
04927,928
04928,649
04929,828
04930,940
04932,897
04936,553
04937,893
04938,1034
04939,676
04940,-
04941,865
04942,659
04943,645
04944,-
04945,573
04947,776
04949,964
04950,689
04951,714
04952,966
04953,1251
04955,746
04956,592
04957,917
04958,639
04961,663
04963,1021
04964,1069
04965,780
04966,768
04967,911
04969,950
04970,1104
04971,830
04973,1078
04974,937
04975,575
04976,849
04978,1050
04979,719
04981,1026
04982,492
04983,905
04984,862
04985,-
04986,768
04987,665
04988,1021
04989,1057
04992,-
05001,1327
05009,-
05030,-
05031,-
05032,1481
05033,1473
05034,1500
05035,894
05036,1351
05037,1341
05038,1044
05039,1311
05040,859
05041,2167
05042,1193
05043,1672
05045,1434
05046,1326
05048,1182
05050,1830
05051,1065
05052,922
05053,2286
05055,2026
05056,1085
05058,1189
05059,1207
05060,1340
05061,1164
05062,1276
05065,1164
05067,1938
05068,1032
05069,821
05070,1220
05071,-
05072,1357
05073,-
05075,1502
05076,971
05077,1171
05079,979
05081,1157
05083,-
05084,1611
05086,1318
05088,1211
05089,1273
05091,2250
05101,1122
05141,1563
05142,995
05143,994
05146,1328
05148,1457
05149,1196
05150,690
05151,1339
05152,1632
05153,1462
05154,1039
05155,1548
05156,1138
05158,1290
05161,1891
05201,1282
05250,1214
05251,1346
05252,1279
05253,1098
05254,2615
05255,1555
05257,1438
05260,979
05261,944
05262,1252
05301,1489
05340,1750
05341,1458
05342,1635
05343,1017
05344,-
05345,1184
05346,1370
05350,1217
05351,894
05352,1180
05353,1296
05354,1250
05355,1434
05356,1167
05358,1286
05359,1429
05360,1458
05361,1406
05362,2085
05363,1319
05401,1936
05403,1782
05404,1811
05405,-
05408,1654
05439,-
05440,1200
05441,1016
05442,1350
05443,1674
05444,1827
05445,2252
05446,1750
05447,1229
05448,1383
05450,1291
05452,1878
05454,2097
05455,1818
05456,1981
05457,1309
05458,1973
05459,1387
05461,1388
05462,1510
05463,967
05464,1748
05465,2053
05468,1792
05471,1280
05472,1359
05473,1598
05474,1898
05476,1024
05477,1787
05478,1628
05481,-
05482,2224
05483,1229
05485,-
05486,1846
05487,1309
05488,1511
05489,1830
05491,1546
05492,1388
05494,1847
05495,2005
05602,1608
05640,-
05641,1303
05647,1617
05648,1332
05649,1342
05650,1599
05651,1178
05652,984
05653,1338
05654,951
05655,1331
05656,1158
05658,1149
05660,1705
05661,1372
05663,1545
05664,-
05666,-
05667,1141
05669,942
05670,-
05672,1641
05673,1561
05674,1477
05675,1083
05676,1681
05677,2149
05678,-
05679,1332
05680,1213
05681,1167
05682,1333
05701,1259
05730,860
05731,-
05732,1393
05733,1267
05734,1128
05735,1205
05736,1386
05737,1433
05738,1171
05739,1353
05742,1544
05743,1211
05744,813
05746,-
05747,975
05748,900
05751,1452
05753,1521
05757,1093
05758,1150
05759,1124
05760,1090
05761,1189
05762,1174
05763,1022
05764,1276
05765,1159
05766,1581
05767,1318
05768,-
05769,1256
05770,1392
05772,1063
05773,1451
05774,1116
05775,890
05776,786
05777,1183
05778,1226
05819,1158
05820,1304
05821,1241
05822,1321
05824,945
05825,1563
05826,1216
05827,1404
05828,1110
05829,949
05830,1037
05832,1612
05833,1250
05836,1351
05837,800
05839,1202
05840,625
05841,1324
05842,1321
05843,1091
05845,1406
05846,1385
05847,1139
05850,-
05851,963
05853,1438
05855,1017
05857,1208
05858,806
05859,1205
05860,1048
05862,1409
05866,818
05867,978
05868,1110
05871,1110
05872,853
05873,986
05874,1566
05875,1523
05901,-
05902,686
05903,876
05904,745
05905,1010
05906,913
05907,930
06001,2455
06002,1769
06010,1660
06013,2272
06016,2084
06018,1386
06019,2241
06020,-
06021,1527
06022,-
06023,1671
06024,1250
06026,2016
06027,1329
06029,1907
06031,1911
06032,2001
06033,2122
06035,1915
06037,1866
06039,1985
06040,1684
06042,1579
06043,2085
06051,1508
06052,1758
06053,1362
06057,1852
06058,1721
06059,1875
06060,2369
06061,680
06062,1584
06063,2038
06065,1647
06066,1586
06067,1635
06068,2148
06069,1511
06070,2350
06071,2060
06072,-
06073,2974
06074,2141
06076,1652
06078,1909
06079,-
06080,-
06081,1860
06082,1562
06084,1789
06085,1978
06088,1318
06089,2546
06090,2943
06091,1688
06092,2819
06093,1850
06095,1773
06096,1381
06098,1397
06103,1744
06105,2237
06106,1629
06107,2534
06108,1666
06109,1875
06110,1521
06111,1709
06112,1382
06114,1691
06117,2443
06118,1594
06119,1967
06120,1378
06226,1500
06231,2038
06232,1918
06234,1495
06235,1532
06237,1856
06238,1562
06239,1511
06241,1475
06242,1521
06243,-
06247,1609
06248,2161
06249,1548
06250,1541
06254,1474
06255,1466
06256,1456
06258,-
06259,1922
06260,1513
06262,920
06263,-
06264,1833
06266,1232
06268,1591
06269,-
06277,1738
06278,2026
06279,1567
06280,1384
06281,2035
06282,1583
06320,1534
06330,1463
06331,1356
06332,1821
06333,2195
06334,1322
06335,1957
06336,2125
06338,464
06339,1616
06340,1491
06350,-
06351,1575
06353,-
06354,1771
06355,1875
06357,1655
06359,2014
06360,1434
06365,1413
06370,1770
06371,1961
06373,1688
06374,1408
06375,1761
06376,-
06377,1871
06378,2262
06379,1690
06380,908
06382,1595
06384,1693
06385,1675
06387,1722
06389,-
06390,-
06401,1774
06403,1758
06405,1936
06409,2355
06410,2120
06412,1949
06413,1861
06414,2059
06415,1979
06416,1704
06417,1777
06418,1504
06419,2078
06420,2098
06422,2038
06423,1649
06424,1923
06426,1873
06437,2104
06438,2276
06439,3194
06441,2060
06442,2007
06443,2621
06444,1477
06447,2285
06450,1531
06451,1619
06455,1752
06456,1708
06457,1703
06459,-
06460,1918
06461,1998
06467,2198
06468,2778
06469,1431
06470,2809
06471,2057
06472,2003
06473,2028
06475,1804
06477,2383
06478,2141
06479,1762
06480,2001
06481,1657
06482,2414
06483,2041
06484,1941
06488,1830
06489,1854
06492,1791
06498,1508
06510,1682
06511,2232
06512,1710
06513,1625
06514,1905
06515,1954
06516,1813
06517,2102
06518,1980
06519,1713
06524,2402
06525,2756
06604,1698
06605,2038
06606,1669
06607,1351
06608,1557
06610,1480
06611,2784
06612,3080
06614,1878
06615,1959
06702,-
06704,1461
06705,1236
06706,1434
06708,1610
06710,1694
06712,1944
06716,1882
06750,2109
06751,2004
06752,2262
06753,-
06754,1771
06755,1714
06756,2004
06757,1747
06758,578
06759,1830
06762,2314
06763,1934
06770,1674
06776,2030
06777,1774
06778,1945
06779,1563
06782,1819
06783,2547
06784,1488
06785,2083
06786,1632
06787,1827
06790,1443
06791,1574
06793,2068
06794,2400
06795,1836
06796,1526
06798,2000
06801,2451
06804,2133
06807,3594
06810,1995
06811,1998
06812,2185
06820,"4,000+"
06824,3120
06825,2564
06830,"4,000+"
06831,3982
06840,"4,000+"
06850,2693
06851,2620
06853,"4,000+"
06854,2366
06855,2534
06870,3941
06877,3548
06878,"4,000+"
06880,3980
06883,"4,000+"
06890,"4,000+"
06896,3326
06897,3848
06901,2048
06902,2484
06903,3581
06905,2977
06906,2760
06907,2751
07001,1739
07002,2488
07003,2530
07004,3068
07005,2762
07006,3116
07008,1712
07009,2903
07010,2446
07011,2254
07012,2318
07013,2124
07014,2505
07016,2844
07017,2361
07018,2129
07020,2957
07021,"4,000+"
07022,2640
07023,3156
07024,1815
07026,1977
07027,2214
07028,3886
07029,1907
07030,3815
07031,2349
07032,2129
07033,2154
07034,1762
07035,2608
07036,2247
07039,3758
07040,3250
07041,3509
07042,3668
07043,"4,000+"
07044,2830
07045,2870
07046,"4,000+"
07047,2136
07050,2119
07052,2933
07054,2512
07055,2397
07057,1663
07058,2540
07059,3184
07060,2420
07062,2270
07063,2343
07064,2189
07065,2340
07066,2212
07067,2382
07068,3132
07069,2445
07070,2728
07071,2501
07072,1658
07073,2287
07074,1688
07075,2623
07076,3184
07077,2566
07078,"4,000+"
07079,3927
07080,2259
07081,2821
07082,2671
07083,2497
07086,3671
07087,2346
07088,1932
07090,3956
07092,3045
07093,2366
07094,2183
07095,2144
07102,1919
07103,1708
07104,2140
07105,1652
07106,2178
07107,1946
07108,2585
07109,2281
07110,2706
07111,2124
07112,2151
07114,2734
07201,2322
07202,1930
07203,2206
07204,2508
07205,2307
07206,2007
07208,2229
07302,3838
07304,2270
07305,2170
07306,2082
07307,2458
07310,"4,000+"
07311,-
07401,3458
07403,2497
07405,2673
07407,2008
07410,2580
07416,1768
07417,"4,000+"
07418,2228
07419,1903
07420,2190
07421,2508
07422,1810
07423,"4,000+"
07424,2321
07430,2434
07432,2524
07435,2125
07436,2884
07438,2325
07439,1987
07440,2314
07442,2481
07444,1654
07446,3156
07450,"4,000+"
07452,3369
07456,2577
07457,1774
07458,"4,000+"
07460,1927
07461,1786
07462,1693
07463,2775
07465,2257
07470,2848
07480,2090
07481,3464
07501,2211
07502,2152
07503,1887
07504,2465
07505,1338
07506,2619
07508,2488
07512,2392
07513,2304
07514,1935
07522,1998
07524,2380
07601,2409
07603,2395
07604,2673
07605,2999
07606,2469
07607,2233
07608,-
07620,"4,000+"
07621,2625
07624,3291
07626,3070
07627,"4,000+"
07628,2382
07630,2834
07631,2773
07632,2867
07640,2686
07641,3848
07642,3152
07643,1842
07644,2507
07645,2958
07646,2745
07647,2329
07648,3232
07649,3317
07650,2472
07652,2615
07656,2601
07657,2665
07660,2672
07661,3286
07662,2311
07663,2023
07666,2630
07670,3794
07675,3161
07676,2813
07677,3545
07701,2412
07702,2819
07703,-
07704,3669
07711,2739
07712,2359
07716,2380
07717,2580
07718,2121
07719,2365
07720,1839
07721,2678
07722,3347
07723,2967
07724,2151
07726,2525
07727,2077
07728,2098
07730,2146
07731,2294
07732,1865
07733,2955
07734,1905
07735,2168
07737,2379
07738,3165
07739,3470
07740,2054
07746,2559
07747,2371
07748,2547
07750,2369
07751,2778
07753,1870
07755,2333
07756,2317
07757,2605
07758,2201
07760,3560
07762,2314
07764,2370
07801,2083
07803,2177
07820,-
07821,2327
07822,1913
07823,1492
07825,2094
07826,1727
07827,1266
07828,2563
07830,3079
07831,-
07832,1903
07833,1125
07834,2605
07836,2713
07838,2299
07840,2161
07842,-
07843,1881
07844,-
07846,1786
07847,1107
07848,2161
07849,2096
07850,2251
07851,1549
07852,2356
07853,2983
07856,2130
07857,2538
07860,1901
07863,1669
07865,1660
07866,2348
07869,2991
07870,-
07871,2913
07874,2186
07876,2572
07878,1875
07880,3030
07881,-
07882,1900
07885,2095
07901,3654
07920,2883
07921,1761
07922,2845
07924,3326
07926,-
07927,2722
07928,3707
07930,3728
07931,3648
07932,2737
07933,2489
07934,3059
07935,1772
07936,2556
07939,-
07940,3275
07945,"4,000+"
07946,2583
07950,2382
07960,2840
07961,-
07970,-
07974,2913
07976,2643
07977,1396
07979,-
07980,3427
07981,2161
08001,-
08002,1899
08003,2339
08004,1659
08005,1547
08006,1859
08007,1615
08008,1850
08009,2088
08010,1464
08011,-
08012,1875
08014,1836
08015,1205
08016,1951
08019,1249
08020,2216
08021,1564
08022,1775
08023,1758
08026,2065
08027,1462
08028,1693
08029,1831
08030,1445
08031,1522
08032,1735
08033,3054
08034,1873
08035,2036
08036,1799
08037,1627
08038,-
08039,-
08041,2500
08042,720
08043,2189
08045,1702
08046,1805
08048,1987
08049,1733
08050,1835
08051,1661
08052,1537
08053,2103
08054,1870
08055,2642
08056,2461
08057,2525
08059,1627
08060,1752
08061,2654
08062,2686
08063,1711
08064,-
08065,1653
08066,1084
08067,1716
08068,1412
08069,1426
08070,1575
08071,1793
08072,-
08073,-
08074,-
08075,1893
08077,2107
08078,1622
08079,1210
08080,2029
08081,1952
08083,1954
08084,1769
08085,2184
08086,1781
08087,1507
08088,1713
08089,1842
08090,1950
08091,1761
08092,1804
08093,1504
08094,1860
08095,-
08096,1760
08097,1945
08098,1947
08102,588
08103,856
08104,962
08105,992
08106,1812
08107,1865
08108,2026
08109,1654
08110,1414
08201,1641
08202,1971
08203,1779
08204,1608
08205,1611
08210,1584
08212,1327
08215,1627
08217,-
08221,2335
08223,1453
08224,2288
08225,1973
08226,1735
08230,1834
08232,1566
08234,1777
08240,-
08241,1962
08242,1760
